Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;Variable6;Valor6;Variable7;Valor7;PERIODO;VALOR
Sexo;Total;Nacionalidad;Total;Conceptos Demográficos;Flujo de inmigraciones procedentes del extranjero;Total Nacional;Total Nacional;Totales de edad;Todas las edades;Países y Continentes;Total;País de origen o destino;Total;2022S1;478.990
Sexo;Total;Nacionalidad;Total;Conceptos Demográficos;Flujo de inmigraciones procedentes del extranjero;Total Nacional;Total Nacional;Totales de edad;Todas las edades;Países y Continentes;Total;País de origen o destino;Total;2021S2;327.527
Sexo;Total;Nacionalidad;Total;Conceptos Demográficos;Flujo de inmigraciones procedentes del extranjero;Total Nacional;Total Nacional;Totales de edad;Todas las edades;Países y Continentes;Total;País de origen o destino;Total;2021S1;201.329
Sexo;Total;Nacionalidad;Total;Conceptos Demográficos;Flujo de inmigraciones procedentes del extranjero;Total Nacional;Total Nacional;Totales de edad;Todas las edades;Países y Continentes;Total;País de origen o destino;Total;2020S2;219.889
Sexo;Total;Nacionalidad;Total;Conceptos Demográficos;Flujo de inmigraciones procedentes del extranjero;Total Nacional;Total Nacional;Totales de edad;Todas las edades;Países y Continentes;Total;País de origen o destino;Total;2020S1;248.029
Sexo;Total;Nacionalidad;Total;Conceptos Demográficos;Flujo de inmigraciones procedentes del extranjero;Total Nacional;Total Nacional;Totales de edad;Todas las edades;Países y Continentes;Total;País de origen o destino;Total;2019S2;400.539
Sexo;Total;Nacionalidad;Total;Conceptos Demográficos;Flujo de inmigraciones procedentes del extranjero;Total Nacional;Total Nacional;Totales de edad;Todas las edades;Países y Continentes;Total;País de origen o destino;Total;2019S1;349.941
Sexo;Total;Nacionalidad;Total;Conceptos Demográficos;Flujo de inmigraciones procedentes del extranjero;Total Nacional;Total Nacional;Totales de edad;Todas las edades;Países y Continentes;Total;País de origen o destino;Total;2018S2;357.454
Sexo;Total;Nacionalidad;Total;Conceptos Demográficos;Flujo de inmigraciones procedentes del extranjero;Total Nacional;Total Nacional;Totales de edad;Todas las edades;Países y Continentes;Total;País de origen o destino;Total;2018S1;286.230
Sexo;Total;Nacionalidad;Total;Conceptos Demográficos;Flujo de inmigraciones procedentes del extranjero;Total Nacional;Total Nacional;Totales de edad;Todas las edades;Países y Continentes;Total;País de origen o destino;Total;2017S2;298.062
Sexo;Total;Nacionalidad;Total;Conceptos Demográficos;Flujo de inmigraciones procedentes del extranjero;Total Nacional;Total Nacional;Totales de edad;Todas las edades;Países y Continentes;Total;País de origen o destino;Total;2017S1;234.070
Sexo;Total;Nacionalidad;Total;Conceptos Demográficos;Flujo de inmigraciones procedentes del extranjero;Total Nacional;Total Nacional;Totales de edad;Todas las edades;Países y Continentes;Total;País de origen o destino;Total;2016S2;227.829
Sexo;Total;Nacionalidad;Total;Conceptos Demográficos;Flujo de inmigraciones procedentes del extranjero;Total Nacional;Total Nacional;Totales de edad;Todas las edades;Países y Continentes;Total;País de origen o destino;Total;2016S1;186.918
Sexo;Total;Nacionalidad;Total;Conceptos Demográficos;Flujo de inmigraciones procedentes del extranjero;Total Nacional;Total Nacional;Totales de edad;Todas las edades;Países y Continentes;Total;País de origen o destino;Total;2015S2;187.455
Sexo;Total;Nacionalidad;Total;Conceptos Demográficos;Flujo de inmigraciones procedentes del extranjero;Total Nacional;Total Nacional;Totales de edad;Todas las edades;Países y Continentes;Total;País de origen o destino;Total;2015S1;154.659
